,Sr No.,Utterance,Emotion
441,464,Oh no-no-no! Oh-no!  No! No! Emily!,anger
445,468,Nevermind!,anger
459,483,Ow!,surprise
472,496,"You guys, Joey just saw Janice kissing her ex-husband.",surprise
473,497,"What?  So what are you going to do? I mean how, how are you going to tell Chandler?",surprise
483,509,"Ahh.  Ooh, is this a ah, is this a bad time?",surprise
485,511,"Oh! I thought you guys got married in uh, January?",surprise
487,513,Ah!  Oh.,surprise
495,521,Oh!!,surprise
497,523,Please. This is so your fault.,anger
498,524,"How, how is this my fault?",surprise
499,525,"Look, Carol never threw me out of a room before you came along.",anger
500,526,"Yeah? Well, there's a lot of things Carol never did before I came along.",anger
501,531,"Hey, hey, ok, all right, that's it!",anger
502,532,Get in here.,anger
504,534,"My god, you guys, I don't believe you.",anger
505,535,There are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing.,anger
506,536,"So just stop all the yelling, just stop it!",anger
508,538,"Don't make me do this again, I don't like my voice like this.",anger
510,540,"Oh! Here it is!  Ooh, Joey! Why did you sign it, ""Son of a bitch?""",surprise
511,541,I didn’t do that! Who would’ve done that?!,surprise
512,542,Son of a bitch!,anger
520,550,Pizza!! We like Pizza!! Get out!!!,anger
542,574,..Excuse me?,surprise
544,576,"Joey, uh-",surprise
547,579,"Joey, onstage!",anger
552,584,Vic! Vic!,anger
553,585,In a minute!!,anger
570,603,"Oh my God, has she slept at all?",surprise
581,614,Hey!,surprise
583,616,You made pancakes?,surprise
594,629,Oh my good God.,surprise
596,631,"Look, you have done enough! Okay? You have to stop this now.",anger
609,646,"Oh.  Wow!  Huh.  Boy!  Well, someone’s been doing their homework.",surprise
615,652,But having a dove place the ring on your finger would’ve been no problem?,anger
622,659,Are you kidding?!,surprise
625,662,Did you just make that up?,surprise
634,671,"You guys! It was bananas, cream, and beef! I-I just cannot believe that you ate that so that I wouldn’t feel bad!",surprise
643,681,Really?!,surprise
650,688,Oh my God! Chandler just left though!,surprise
653,691,I think it means he freaked out and left!,surprise
654,692,Don’t be so negative! Good God! Isn’t it possible that Sorry is sitting in there  right now?!,anger
669,709,Yeah! It’s weird. But the thing is need to find a date.,surprise
674,714,We do?,surprise
677,718,"Wait a minute, hold the phone! You’re not Elizabeth’s dad?!",surprise
701,744,Really?,surprise
703,746,"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",anger
708,751,"Hey, look, we're on that TV thing!",surprise
711,756,"Yeah? Wow! Y’know, that this thing has speakers in the headrest!",surprise
712,757,No. Really?,surprise
715,760,"Tiger!  Dragon! Iceberg!!  Joseph, did you even study at all last night?",anger
717,762,Then do Iceberg!,anger
720,765,What?! I didn't touch a guitar!,surprise
721,766,"No, but you're questioning my method!",anger
722,767,"No, I'm not questioning it, I'm saying it's stupid!  What?!",anger
724,769,Y'know none of my other student thought I was stupid.,anger
725,770,"Your other student, was you!",anger
726,771,"Yeah, well, y'know maybe you just need to try a little harder!",anger
727,772,"Look, maybe I need to try a real teacher!",anger
728,773,Right here!,anger
729,774,Here!,anger
731,776,Fine! You go learn from your qualified instructor! But don't come crying to me when everyone's sick and tired of hearing you play,anger
733,778,"Oh, fine! Take his side!",anger
734,779,"And shame on you! You should know better, Joey needs to work.  Now come on!",anger
735,780,Hey!,anger
736,781,No! Ah-ah-ah-ah-ah! You can have this back when the five pages are done!  Ahh!,anger
741,786,You do?,surprise
745,790,What?,surprise
747,792,Seriously. What?!,surprise
756,801,"I’m pregnant.  Ross?  Ross?  Okay, whenever you’re ready.  And you’re the father by the way—but you got that",anger
759,804,"Yes! Wow, well, that-that was easy. Okay, you-you go.",surprise
767,812,"I know, And then all of the sudden your Mom pops into your head.",anger
768,813,"And your like 'Mom, get outta here!'",anger
769,814,"You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing.",anger
771,816,You know.... You don't know!,surprise
775,820,Oh!,surprise
776,821,Look at Emma!,surprise
798,843,What-what are you doing?! Are you—Okay that’s not funny! Just stop horsing around!,anger
803,848,I was talking to myself! You’re going down!,anger
805,850,"Oh, yeah?",surprise
819,864,Minsk?,surprise
829,875,"Damn those robots, they’re supposed to be our",anger
831,877,"Yeah, he doesn’t like me.",anger
833,879,knock over the sandwich right when I was reaching for one!,anger
834,880,Ohh!,surprise
836,882,"I may have to, I hate to do it, but I’m the star!",anger
842,888,Wow!,surprise
846,892,I’m the lead in Mac and C.H.E.E.S.E.!!,anger
847,893,Oh good God! If you want a baby so bad just go steal it!,anger
848,894,What is going on with you? Since when are you so crazy about babies?,surprise
850,896,What?,surprise
855,901,"Oh, did you catch him?!",surprise
856,903,Wh-what did he say?!,surprise
858,905,Why?! Why not?!,surprise
868,916,"Oh, you came on to Ross!",surprise
869,917,What?!,surprise
871,919,What are you talking about?!,surprise
873,921,That’s the magic story you use when you wanna have sex!,anger
874,922,How do you know about that story?!,surprise
877,925,Some guy!!,surprise
879,927,Ken Adams!!,surprise
889,937,I can’t believe this! How long as this been going on?,surprise
891,939,"Oh, it has a name?",surprise
893,941,Okay—Oop! Too late! I’m leaving! Come on Chandler let’s go!,anger
896,944,"Oh, that's good. Maybe he'll hear you and pull the cord.",anger
911,961,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?",anger
913,963,"I licked my arm, what?",surprise
917,967,What is the big deal?,anger
918,968,What did you just do?,surprise
924,974,Aww!,surprise
927,978,Ohh!!,surprise
928,979,My apothecary table!!!,surprise
929,980,What?!,surprise
931,983,"Ross, where did you get this?!",surprise
932,985,"Oh my God, Phoebe,",anger
933,986,"Wow! Oh my God, well if they’ve ripped off our table ours must be much more than one and fifty dollars!",anger
935,989,"Of course not, it smells like wine, which you spilled! And thanks for wrecking my sheet by the way.",anger
951,1006,You've tasted it? You've tasted it.,surprise
953,1008,"Oh, you've tasted it.",anger
955,1010,Gimme the bottle.  Gimme the towel.,anger
956,1011,I still don't get why Greg and Jenny would give us a fake number.,anger
958,1013,"Okay, maybe people give out fake numbers, but they don’t give out fake names.",anger
961,1016,"I still don’t get it, we didn’t do anything wrong.",surprise
962,1017,"I know! Although, you did tell an awful lot of jokes.",anger
963,1018,I thought you said those jokes were funny. Joke! Joke! Joke!,surprise
964,1019,Joke. Joke. Blah! Blah!,anger
969,1024,Wow! I usually get to know a girl a little better before I let her spoon me.,surprise
979,1034,What’s this?,surprise
981,1036,Not one that can pee on the roof.,surprise
983,1038,And is this in case the house sneezes?,surprise
987,1042,"Wait a minute, the house was built on radioactive waste, and an ancient Indian burial ground? That would never happen.",surprise
989,1044,Hey!,surprise
993,1048,"All right, I just got changed in thirty seconds so you can be alone with him. You'd better go for it.",anger
995,1050,"Well, if you don't, I will.",anger
997,1052,I would!,anger
1001,1057,Ooohhhh!!,surprise
1003,1060,Ahhhh!!,surprise
1004,1061,"Hey, my Father’s house does that!",surprise
1020,1085,Look!,surprise
1021,1086,This is not going to work.,anger
1024,1089,What?,surprise
1026,1091,You said you loved me! I can't believe this!,surprise
1028,1093,"Yes, you did!",surprise
1031,1096,No I don't! Stop it! Stop it! Stop it! Stop it!,anger
1034,1099,"Listen, the number that you gave me 853-5…   That is their old number!",anger
1035,1100,Jenny’s been giving it out since they moved!,anger
1042,1107,Y’know what Greg?,anger
1043,1109,"We are good, interesting, funny people with",anger
1052,1118,You really think so?,surprise
1053,1119,"Ugh, how can you even ask that question?!",surprise
1054,1120,Ross! Get a shot of this. (He's carrying an issue of the,surprise
1056,1122,"This one doesn't hurt either—Ooh, yes it does!",surprise
1057,1123,Ow!,anger
1058,1124,Ow!,anger
1059,1125,Ow!,anger
1060,1126,Ow!,anger
1061,1127,Ooh!,surprise
1073,1140,"Well, I think we've all learned something about who's disgusting and who's not.",anger
1087,1157,"So, you still don’t think I’m boyfriend material?",anger
1090,1160,"I, umm, shut up!",anger
1101,1171,It is? Really?,surprise
0,1,Why do all you’re coffee mugs have numbers on the bottom?,surprise
1,2,"Oh. That’s so Monica can keep track. That way if one on them is missing, she can be like, ‘Where’s number 27?!’",anger
14,30,"Okay, go left. Left! Left!",surprise
15,31,"Okay, y'know what? There is no more left, left!",anger
16,32,"Oh okay, lift it straight up over your head!",anger
17,33,Straight up over your head!,anger
26,42,"Okay, fine, whatever. Welcome to the building.",anger
29,45,Ohh!,surprise
31,47,It kicked! I think the baby kicked!,surprise
32,48,Oh my God!,surprise
36,52,"Look, I know I feel asleep before I could shower and now I don’t have time!",anger
38,54,You’re coming on to the entire room!  I’m Chandler.,anger
49,65,Oh?!,surprise
54,70,"So you can like, bite, and pull people’s hair and stuff?",surprise
56,72,What’s fish hooking?,surprise
62,78,Bumpy?,surprise
69,85,Oh!,surprise
70,86,My God!,surprise
72,88,Excuse me?,surprise
73,89,Joey! He’s working!  You would look,anger
79,95,Fine! I’m sorry for your loss!,anger
84,100,There’s just so much pressure.,anger
93,111,"What’s all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger
96,114,"I mean, enough of the silliness!",anger
97,115,"Well, why don’t you tell her to stop being silly!",anger
98,116,Okay-okay!,anger
116,134,"You're not? See, that's why you're so great!",surprise
118,136,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger
119,137,Define me!,anger
120,138,"Love me, I need love!",anger
121,140,Have you really done this before?,surprise
137,158,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,anger
142,164,There’s like-there’s like 300 bucks in this one!,surprise
147,170,Because your all gonna make up fake specials and make me cook them like you did the other night?,anger
154,178,What a wank!,anger
155,179,"Oh, I cannot believe he’s using our divorce to sell mattresses.",anger
156,180,I know!,anger
157,181,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger
158,182,And I’m appalled for you by the way.,anger
161,185,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger
172,196,"Look, honey, I have tried to make nice, it doesn’t work.",anger
174,198,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger
175,199,Like me tiny doctor!’,anger
177,201,"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.",anger
178,202,"Okay, well you are just gonna have too, okay.",anger
179,203,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!",anger
184,209,Really? A purse?,surprise
185,210,It's not a purse! It's a shoulder bag.,anger
199,226,So your brother's straigh huh? Seriously.,surprise
207,234,"Why, exactly?",surprise
209,236,Chandler that's crazy!,surprise
210,237,If you give up every time you'd have a fight with someone you'd never be with anyone longer than—Ohhh!,anger
219,246,We're in a relationship?,surprise
233,261,Ow!!,anger
234,262,Oh God!,surprise
237,265,"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",anger
239,268,"Now that you’re on you’re own, you’re free to look as stupid as you like.",anger
245,274,"Okay, good bye!",anger
264,295,Wait! What?! No!! Elevator!! No!,anger
267,298,"Oh, I didn't factor in the room tax.",surprise
269,300,Oh my god.,surprise
270,301,What?,surprise
271,302,There's something new in the bowl.,surprise
279,310,"Oh my God, what happened?",surprise
283,314,Ross's what?,surprise
286,317,"Yes!! Yes! Yes! Yes!! That’s my Dad, that’s Frank! Yeah! I’m sorry I’m getting all flingy.",surprise
294,325,"Oh, what? What was it?",surprise
300,331,Go back in time and listen to Phoebe!,anger
303,334,It worked!,surprise
308,339,"Oh my god, I am losing my mind.",anger
309,340,"Yeah, no kidding, this just proves no good can come from  having sex with Ross!",anger
313,344,"Monica. You’ve, you’ve done it right?",surprise
314,345,"Of course I have! What do you think, I’m some 30 year old virgin?",anger
315,346,Oh my God! You’re a 30 year old virgin!,surprise
317,348,"It’s not like, I haven’t any opportunities.",anger
322,353,"Oh my God!! Do it!! Honey, you’ve waited",surprise
323,354,Y’know what? You are right?!,surprise
324,356,I mean sex does not have to be a big deal!,anger
325,357,There shouldn’t be all this rules and restrictions!,anger
327,359,Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,anger
328,360,Oh what do you know? Virgin!,anger
335,367,Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,anger
336,368,"So, I hear, you hate me!",anger
338,370,A little birdie told me something about you wanting to rip your arm off and throw it at me.,anger
340,372,"All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey.",anger
342,374,But what does that gonna do...,anger
343,375,For Chandler!,anger
358,390,Oh my God! Monica!,surprise
364,398,"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!",anger
365,399,I can’t believe it! He still hasn’t called.,anger
366,400,"Who, Josh?",surprise
367,401,It’s Joshua.,anger
368,402,"What, he doesn’t like Josh?",surprise
371,405,Oh no!,surprise
372,407,Wait!,surprise
379,415,"After that? Yeah! No, I mean if I can help.",surprise
381,417,What?,surprise
383,419,"Okay, so you were trying to play bad this whole time.",surprise
396,436,Phoebe! Come on! Let’s go!  Come on!  Why aren’t you dressed yet?!,anger
399,439,Really?!,surprise
402,443,"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.",anger
447,492,All weekend? That's a whole lotta naked.,surprise
462,508,"Oh, you’re switching apartments?",surprise
466,512,She is?,surprise
467,513,"Yeah, you didn’t expect her to live there with a baby did you?",surprise
469,515,Ezel!  Hey Gunther! You’re an ezel!,anger
470,516,Damnit!,anger
471,517,Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?,surprise
479,525,Wait a minute!,surprise
487,533,"Fine, I’m mentally unstable.",anger
489,535,What?!,surprise
491,537,Crack isn’t even an intravenous drug!,anger
503,550,"No, I don’t see it!",anger
509,556,Wow! I can’t believe that’s our baby.,surprise
524,571,Oh right!,surprise
525,572,Right!,surprise
536,583,"Whoa, I'm sorry. Excuse me. We had this cart.",anger
540,587,I can't believe    I didn't even think of that.,surprise
542,589,"What, you can do it in the parking lot of a Taco Bell, but you    can't do it at a doctor's office?",anger
543,590,"It was a ""Wendy's!!    """,anger
544,591,"...and then Zana, just let one rip!!",surprise
546,593,"Like you, I don’t even know where you work?",surprise
548,595,"Yeah. Well, I think our second fight is going to be a",anger
551,598,"So, you stole my joke, and you stole my money.",anger
553,600,"Well, she is going to know that you stole the joke.",anger
554,601,"Oh, what are you going to do, follow me down there?",anger
555,602,Yeah!,anger
565,612,What?!,surprise
572,619,"Okay, so what name am I cool enough to pull off?",surprise
574,621,It’s Clint. It’s Clint!,anger
577,624,It’s Clint!,anger
578,625,What’s up with Gene?,surprise
588,635,Come on Joey!!!,anger
589,636,"Rach, I told you everything I knew last night!",anger
593,640,No! I mean come on! This is a,anger
599,646,You don't know anything.,anger
603,650,"Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in.",anger
604,651,"I mean, that guy with the toe thing?",anger
620,667,"You know, this isn't fair.",anger
621,668,What makes you think that I'm just gonna sleep with her and then blow her off?,anger
622,669,Huh?,anger
623,670,"Can't you guys open your minds to the possibility that I actally like her,    and might want something real?",anger
635,683,"Oh that’s great! Okay, well I’ve heard everything I need to hear. I just need to uh, Leslie",surprise
637,685,Oh!,surprise
638,686,Hey right!,surprise
648,696,Okay wait!,anger
649,697,You listen to me!,anger
650,698,You listen to me!,anger
651,699,"Since I have been waiting four women, that’s four, one higher than the number of centimeters that I am dilated, have come and gone with their babies!",anger
652,700,I’m next!,anger
653,701,It’s my turn!,anger
654,702,It’s only fair!,anger
655,703,And if you bring in one woman and she has her baby before me I’m going to sue you!,anger
656,704,"Not this hospital, I’m going to sue you!",anger
657,705,And my husband  he’s a lawyer!,anger
659,707,Go get back on that case honey!,anger
662,710,OH….MY….GAWD!!!,surprise
665,713,"Well, maybe that’s because you’re closer to you. So you look bigger to you from where you are.",anger
671,719,"Okay, I know what I have to do. I’ve got to go Red Ross.  Y’know, Red Ross!",anger
673,721,Come on! The time we were all waiting in line for,anger
683,732,Sit!,anger
693,742,Look at that!,surprise
704,753,"Okay, where in the hell did you get that?!",surprise
706,755,That cup is mine!,anger
707,756,"No it’s not! You want it, you’re gonna have to win it!",anger
721,773,What?! You got us evicted!!,anger
722,774,I told you not to go down there!,anger
724,776,Rachel always cries!,anger
725,777,That’s not true!,anger
728,780,Go!!,anger
739,791,"Ow, no ‘woo-hooing,’ no ‘woo-hooing.’",anger
740,792,"Why, what happened?",surprise
744,796,You see what men do! Don’t tell me men are not nice!  This is men!!,anger
745,797,What’s wrong with you?,anger
746,798,Nothing!,anger
749,801,This sounds like a hernia. You have to—you-you—Go to the doctor!,surprise
750,802,No way!,anger
751,803,"‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",anger
753,805,Damn you 15s!,anger
761,813,Are you kidding?,surprise
767,819,Shhhh!,anger
770,822,"Oh, you said it Mike.  Aw! There's got to be a better way!",anger
775,827,Are you intrigued?,surprise
780,832,"Wow, it is easy.  Now, I can have milk everyday.",surprise
782,834,She is not…  She’s gay. Oh my God. She is,anger
783,835,Good day for married people huh?,surprise
803,858,Why should I help you?!,anger
807,862,What?,surprise
810,865,"Oh, I thought this was your party and it turns out it’s a party for Howard. He's just the sweetest little man!",surprise
812,867,You chipped in?!,surprise
814,869,Phoebe! I can't believe you gave them money! I thought you agreed it was totally unreasonable that they asked me for that money!,surprise
815,870,"Yeah, but they didn't ask me!",anger
819,874,"Yeah, but you're making me look bad!",anger
821,876,No!,surprise
836,892,He's in the bathroom. I don't think you wanna go in there!,anger
839,895,Who is being loud?,anger
842,898,"Oh, you got the whole night, huh?",surprise
844,900,"Ooh, do I sense a little bit of resentment?",surprise
863,920,"Wow, this is so cool, you guys. The entire city is blacked out!",surprise
864,921,"Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.",anger
865,922,"Wow, you guys, this is big.",surprise
866,923,Pants and a sweater?,anger
867,924,"Why, mom?",anger
868,925,Who am I gonna meet in a blackout?,anger
869,926,Power company guys?,anger
870,927,Eligible looters?,anger
871,928,Could we talk about this later?,anger
909,966,You said she was bald.,anger
911,968,How could you not tell me that she has hair?,surprise
913,970,"Ohh, well, this is just perfect!",anger
915,972,"Yeah, I said what was okay when I thought she was some weird bald chick. I mean, y'know, that girl has hair got",anger
922,979,"Sure. What? About uh, you showering with your mom?",surprise
923,980,"I actually had a topic in mind! I’m, I’m kinda going through a dry spell, sex wise.",anger
924,981,"Whoa, for like months?",surprise
926,983,No!,surprise
928,985,"Ow! My ass. Okay. Okay.  Oh, shhh!",anger
930,987,Then don't break in!!,anger
931,988,"Oh yeah, Smokey Joe here got half way to the highway and collapsed.",anger
947,1004,Come on you gotta have one!,surprise
949,1008,"I mean if you buy a bed from Janice’s ex-husband, that’s like betraying Chandler.",anger
950,1009,Not at these prices.,anger
953,1012,"Eh, Monica it, it feels so weird, y'know, Chandler’s your friend...  Oh!",surprise
954,1013,Oh my God!,surprise
958,1017,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads.",anger
960,1019,"Oh, are you sure?",surprise
961,1021,"Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",anger
963,1023,What? What can't you do?,surprise
964,1024,She really said that?,surprise
967,1027,'Tonight' tonight?,surprise
976,1036,You kissed my best Ross! ...Or something to that effect.,anger
978,1038,Really stupid.,anger
983,1043,Yeah. No. No...,anger
986,1046,You're kidding.,surprise
992,1052,What?!,surprise
994,1054,The universe said I was going to meet a nice guy and that’s what they gave me?,anger
995,1055,When I get up there I’m going to kick some ass.,anger
1000,1061,"Oh, excuse me! I think you dropped s… Wow!",surprise
1001,1062,What?,surprise
1002,1063,"I’m sorry, it’s just that you’re so incredibly beautiful.",surprise
1010,1071,Monica! Stop throwing it so hard! We're on the same team!,anger
1011,1072,Four hours? You guys have been doing this for four hours?,surprise
1015,1076,What?,surprise
1016,1077,He's a dropper!,anger
1017,1078,"Oh yeah, that's right!",anger
1018,1079,I'm not a dropper!,anger
1020,1081,It's throwing and catching!,anger
1022,1083,Oh! Oh! That's so hard.,surprise
1023,1084,"Whoa-whoa you guys, it's not a cat!",anger
1024,1085,Oh my—Oh good God!,surprise
1025,1086,"I give up you guys, I don't know what I'm going to do with this thing!",anger
1029,1090,"Whoa! Whoa! Whoa, Joey!",surprise
1035,1096,"Excuse me little one, I have a very solid backhand.",anger
1041,1102,"Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.",anger
1043,1104,Maybe you should.,anger
1050,1111,Isn't!,anger
1058,1119,No. No-no. No. What would,anger
1059,1120,Who? Me the attacker?,surprise
1062,1123,No-no—Really?!,surprise
1070,1131,Absolutely! But you-you would really feel better about me rejecting you if your actor friend can audition for my movie?,surprise
1075,1136,Chandler sucks! He couldn’t have gotten this good!,surprise
1078,1139,"Oh come on, by age seven kids have already seen orgies.  Was it just me?!",surprise
1091,1152,"So, that’s it?",surprise
1094,1155,What do you have against the beautiful guest room?,anger
1095,1156,"I don’t have anything against the beautiful guest room, especially since everybody we know lives about 30 seconds away!",anger
1096,1157,Are you mocking me?,anger
1105,1166,Why?,surprise
1113,1175,Why not?!,anger
1115,1177,What?! You said he was sweet!,surprise
1119,1181,What? So now I’m not allowed to fire him?,surprise
1132,1195,No!,anger
1133,1196,Chandler!,surprise
1134,1197,Janice!,surprise
1135,1198,There you are!,surprise
1136,1199,There you are!,surprise
1147,1210,Oh hey!,surprise
1153,1216,Canceled?!,surprise
1154,1217,Like they’re taking it off the air?,surprise
1157,1220,We’re not even shootin’ them anymore?!!,surprise
1158,1221,"All right, bye!",anger
1159,1222,They canceled Mac and C.H.E.E.S.E!,anger
1162,1225,Why would they do that?! It was a good show right?!,surprise
1171,1234,Okay.  What?! What are you doing here?!,surprise
1173,1236,I came with Paul!,anger
1175,1238,Get up!,anger
1179,1242,What the hell was that?!,anger
1189,1252,What?,surprise
1190,1253,Yes! It’s flown into your blouse and you’d better undo your buttons lest it sting you!,anger
1196,1259,"No, no, no. What was that?",surprise
1209,1272,"If anyone asks, we’ll just say Ben addressed them.  Oh! So you invited Rachel then?",surprise
1211,1274,Really?,surprise
1239,1304,A doctor at this hospital?,surprise
1240,1305,Damnit woman we’re losing precious time! Now do you want this man’s blood on your head?,anger
1249,1314,No!,surprise
1258,1323,Oh my God.,surprise
1261,1326,Whoa! What?! Why?!,surprise
1263,1328,Here?! Now?!,surprise
1266,1331,What happened?,surprise
1269,1334,"Stupid, useless Canadian money!",anger
1271,1336,Really?,surprise
1284,1351,Dude! Dude!,surprise
1286,1353,"Oh really? Uh, Monica said she had a date at 9:00.",surprise
1287,1354,What?! Tonight?!,surprise
1289,1356,After she gave me that big speech?!,surprise
1290,1357,She goes and makes a date with a guy on the same night she has plans with me?,anger
1291,1358,I think she’s trying to pull a fast one on Big Daddy!,anger
1294,1361,No-no-no-no-no-no-no-no!!! You can't come in here! R-r-r-r-Ross is naked.,surprise
1295,1362,What?!,surprise
1303,1370,"Rachel! Well, you-you’re not at home, you’re-you’re-you’re right here.",surprise
1306,1373,That part was perfect for me! I can't believe I didn't get it!,anger
1317,1384,I can't write!,anger
1336,1403,What?!,surprise
1337,1404,"Well, you broke up with Julie Grath! How much weight could she have gained?",anger
1339,1406,"Yes, yes it is. It’s uh…  Every time on the lips! Why?! Why on lips?!",anger
1341,1408,"Now wait a minute, you be nice! All right? I didn’t bring you here so you can ambush her.",anger
1343,1410,That bitch!,anger
1344,1411,Monica! What,surprise
1345,1412,Am I doing here? Why? Surprised to see me? Ross brought me. How do you like that?!,anger
1347,1414,"You invite my brother, you invite my whole family, and not me?!",anger
1348,1415,Why?!,surprise
1349,1416,What—Why wouldn’t you want me at your wedding?,anger
1350,1417,What could I have possibly done?!,anger
1351,1418,Stuart!,anger
1355,1422,"Hey Chandler, what are you doing here?",surprise
1357,1424,Yeah?,surprise
1363,1430,"Uh, are you crazy? Are you insane? If you live with Phoebe, you two are gonna be y'know, live-living together!",surprise
1369,1436,"What do you mean, they’re not moving in? They-they’re still moving in right?",surprise
1371,1438,What?! Over a stupid room!,surprise
1374,1442,Shut-out!!,surprise
1375,1443,"Where are you guys going? Come on, one more game!",surprise
1377,1445,"Yeah, get out!",anger
1378,1446,You guys are always hanging out in my apartment!,anger
1379,1447,"Come on, I'll only use my left hand, huh?",anger
1380,1448,"Come on, wussies!",anger
1390,1458,I don’t care!  I don’t care!!,anger
1401,1469,"Yeah, yeah. You can do it to.",surprise
1422,1490,"Oh yeah, probably at the end.  Oh my God! He only took pictures of my breasts!",surprise
1424,1492,Y’know she has a face Ross!,anger
1431,1499,Together? Like-like to people?,surprise
1437,1505,"I mean, I don’t feel like I even have a girlfriend anymore.",anger
1438,1506,You want me to just quit my job so that you can feel like you’ve got a girlfriend?,anger
1440,1508,Oh my God.,surprise
1452,1520,"What’s going on Bing? Does uh, your wife have a problem with me or something?",anger
1458,1526,Y’know what would really help me through this tough time is choking something. Can I choke ya?,anger
1461,1529,"Oh no-no-no, Monica would freak.  But to hell with that bitch.",anger
1464,1532,": Step away from the crib,    I have a weapon!",anger
1474,1542,"Sophie, would you please climb out of my butt. Why hasn’t he called, Rachel? Why?",anger
1476,1544,Awkward? Why should he feel awkward?,surprise
1477,1546,"The only person that should feel awkward is you, and you didn’t tell him not to call me, did you?",anger
1478,1548,"Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",anger
1480,1550,"I mean, all I’m asking for is just a little emotion!",anger
1481,1551,Is that too much to ask after six years?!,anger
1482,1552,I mean what?,anger
1483,1553,Are-are-are Rachel and I not as close as you guys?!,anger
1484,1554,I mean do we not have as much fun?!,anger
1487,1557,Hey!,anger
1488,1558,I did not cry my eyes out!!,anger
1492,1563,"Okay, I gotta ask, who calls us that?!",anger
1504,1577,Ahhhh!!,surprise
1510,1583,DO YOU?,anger
1520,1593,"Oh good God, Ross! How the hell do you do it?",surprise
1528,1601,You are not allowed to laugh at my joke.,anger
1530,1603,I can’t find garbage bags!,anger
1532,1605,What is it?!,surprise
1535,1608,You still haven’t told Rachel you weren’t really  proposing?,surprise
1536,1609,"No! She had the ring on, she seemed so excited, and then she  took her breast out.",anger
1537,1610,"Joey, you have to tell her what’s going on! And what did it  look like?!",surprise
1538,1611,I didn’t look at it. Stupid baby’s head was blocking most of  it.,anger
1556,1632,You completely stole my answer!,anger
1558,1634,Well how would you know?! You didn't even read it!,anger
1563,1639,Are you just repeating what I'm saying?,anger
1577,1654,"There was a ring, in a box, on my nightstand, after you left, it was gone!",anger
1578,1655,"Wait, you guys think I stole some ring?",surprise
1579,1656,We know you took so just-just save yourself the time and confess!,anger
1580,1657,"Okay, who are you?",surprise
1581,1658,The Hardy boys?,anger
1582,1659,"Look, I don’t need to steal some stupid ring, all right?",anger
1583,1660,"I make $1,600 a week doing what I do; any of you guys make that?",anger
1585,1662,Oh my God! Joey!,surprise
1587,1664,You can’t marry him!,anger
1588,1665,"Hey lady, your day’s over! It’s my turn!",anger
1589,1666,Phoebe!,surprise
1590,1667,Why?! Why can’t she marry me?!,surprise
1591,1668,I can and I will!,anger
1593,1670,Oh my God.,surprise
1594,1671,Hey!,anger
1595,1672,Phoebe I think he would notice if you didn’t have a baby in nine months!,anger
1596,1673,It’s Joey!,surprise
1597,1674,Now I can’t believe it! What? Rachel’s pregnant?  Who’s the father?,surprise
1600,1677,There’s a dude?,surprise
1602,1679,Who? Who is it?,surprise
1606,1683,Oh my God! I know who the father is,surprise
1607,1684,People have got to finish their stories!,anger
1608,1685,"Oh my God, you’re back!",surprise
1609,1686,"Ohh, let me see it! Let me see your hand!",surprise
1613,1691,No!,anger
1626,1704,No!,surprise
1629,1707,They are completely different—Okay!,anger
1630,1708,Okay!,surprise
1631,1709,Okay!,surprise
1652,1730,Who’s that?,surprise
1657,1735,Yeah! Got it!,anger
